"risk_level","total_transactions"
"-89.880078","1"
"-87.561925","1"
"-91.65647299999999","1"
"-80.66738000000001","1"
"-90.806786","1"
"-71.321272","1"
"-82.311368","1"
"-86.078127","1"
"-80.44114499999999","1"
"-86.75349200000001","1"
"-81.41521999999999","1"
"-110.977775","1"
"-103.857828","1"
"-121.586924","1"
"-80.113383","1"
"-76.339872","1"
"-83.493587","1"
"-90.343721","1"
"-119.191056","1"
"-98.784093","1"
"-86.351802","1"
"-82.521179","1"
"-106.094431","1"
"-95.014785","1"
"-96.396371","1"
"-70.304233","1"
"-76.844275","1"
"-69.45326800000001","1"
"-75.082021","1"
"-86.954911","1"
"-82.80387900000001","1"
"-73.482652","1"
"-79.957329","1"
"-98.211236","1"
"-112.703007","1"
"-73.929836","1"
"-83.509102","1"
"-96.576685","1"
"-98.554921","1"
"-91.49062099999999","1"
"-91.30709","1"
"-82.80359399999999","1"
"-97.119535","1"
"-113.22218799999999","1"
"-90.987165","1"
"-82.23646600000001","1"
"-87.93236","1"
"-79.660067","1"
"-91.625185","1"
"-86.00913100000001","1"
"-74.4055","1"
"-84.24239200000001","1"
"-83.573277","1"
"-86.799036","1"
"-117.059436","1"
"-109.33187099999999","1"
"-92.76418699999999","1"
"-96.959149","1"
"-91.836392","1"
"-116.73818899999999","1"
"-76.265426","1"
"-98.314153","1"
"-91.01314599999999","1"
"-73.656777","1"
"-124.38960700000001","1"
"-92.75711899999999","1"
"-68.366908","1"
"-79.01386600000001","1"
"-123.20773700000001","1"
"-105.08526699999999","1"
"-84.061712","1"
"-82.103415","1"
"-75.852733","1"
"-83.455917","1"
"-73.254526","1"
"-73.887102","1"
"-75.417132","1"
"-87.973814","1"
"-87.717777","1"
"-124.057302","1"
"-123.92119","1"
"-79.73138","1"
"-122.751943","1"
"-91.202699","1"
"-88.41976700000001","1"
"-118.75473500000001","1"
"-94.741809","1"
"-91.103923","1"
"-77.834811","1"
"-84.394044","1"
"-72.140855","1"
"-85.22215899999999","1"
"-96.65099599999999","1"
"-87.132623","1"
"-88.368862","1"
"-74.271683","1"
"-108.613675","1"
"-87.605121","1"
"-90.603974","1"
"-71.60910799999999","1"
"-87.082169","1"
"-83.124697","1"
"-82.035147","1"
"-72.683226","1"
"-86.292068","1"
"-87.175071","1"
"-73.139771","1"
"-94.43741700000001","1"
"-87.41245","1"
"-97.01717","1"
"-94.00733699999999","1"
"-96.881997","1"
"-97.255899","1"
"-75.899179","1"
"-85.28257099999999","1"
"-105.922203","1"
"-81.10446","1"
"-81.85676","1"
"-81.34002199999999","1"
"-77.770625","1"
"-96.507532","1"
"-109.264742","1"
"-80.623924","1"
"-87.292537","1"
"-123.652423","1"
"-105.124356","1"
"-96.480734","1"
"-82.88023100000001","1"
"-77.7313","1"
"-82.217734","1"
"-96.14196899999999","1"
"-104.90898500000002","1"
"-86.55136999999999","1"
"-121.06393999999999","1"
"-118.71939099999999","1"
"-90.332949","1"
"-86.75219799999999","1"
"-91.519126","1"
"-118.107914","1"
"-83.27149399999999","1"
"-92.363349","1"
"-94.661621","1"
"-104.071775","1"
"-87.147971","1"
"-91.448033","1"
"-90.033307","1"
"-94.858204","1"
"-77.87945500000001","1"
"-117.738226","1"
"-70.524074","1"
"-92.907236","1"
"-96.455586","1"
"-87.99398000000001","1"
"-74.011604","1"
"-124.111225","1"
"-75.624771","1"
"-81.774883","1"
"-98.433121","1"
"-97.247067","1"
"-78.411392","1"
"-97.147538","1"
"-92.915711","1"
"-81.003635","1"
"-74.095739","1"
"-96.833748","1"
"-74.730131","1"
"-91.942904","1"
"-96.848536","1"
"-85.421033","1"
"-74.95198","1"
"-88.846164","1"
"-97.23222700000001","1"
"-80.646007","1"
"-79.420181","1"
"-87.766228","1"
"-86.737589","1"
"-84.41565899999999","1"
"-85.55033","1"
"-93.916585","1"
"-86.046421","1"
"-98.514548","1"
"-74.529384","1"
"-105.340558","1"
"-98.20465","1"
"-106.30403799999999","1"
"-76.927863","1"
"-80.765775","1"
"-84.568196","1"
"-86.31706","1"
"-72.449954","1"
"-71.819241","1"
"-73.379359","1"
"-74.675576","1"
"-106.25291200000001","1"
"-86.23853199999999","1"
"-84.215925","1"
"-82.466029","1"
"-83.637189","1"
"-80.52363199999999","1"
"-75.1488","1"
"-82.347103","1"
"-97.62366800000001","1"
"-93.766152","1"
"-74.47766","1"
"-78.26726","1"
"-86.359326","1"
"-90.002043","1"
"-87.344904","1"
"-99.196178","1"
"-86.173253","1"
"-82.36522099999999","1"
"-109.128575","1"
"-96.481727","1"
"-84.92786600000001","1"
"-110.456668","1"
"-97.96095","1"
"-87.235312","1"
"-73.704674","1"
"-110.92650900000001","1"
"-121.74113799999999","1"
"-92.406212","1"
"-73.099673","1"
"-95.351551","1"
"-96.377179","1"
"-109.967906","1"
"-106.749369","1"
"-93.348174","1"
"-86.898093","1"
"-84.438781","1"
"-85.27235999999999","1"
"-87.35663199999999","1"
"-85.99525899999999","1"
"-88.382538","1"
